type,vehicle_id,operator,prev_route,prev_headsign,prev_last_stop_planned,next_route,next_headsign,next_first_stop_planned,deadhead_start,deadhead_end,duration_min,period,day_type,from_stop_observed,to_stop_observed,from_lat,from_lon,to_lat,to_lon,move_m,speed_kmh,dwell_start_min,dwell_end_min,deadhead_label,beräknad_körtid_min
observed,9031001003007248,Nobina,835,-,Handens närsjukhus,809,-,Svartbäcken,2025-03-17 06:04:17,2025-03-17 06:11:05,6.8,FM-topp,Vardag,Handens närsjukhus,Vändplan Albatrossvägen,59.17447662353516,18.144569396972656,59.17416763305664,18.1761417388916,1799.3,15.9,0.0,0.0,Handens närsjukhus → Vändplan Albatrossvägen,5.1
observed,9031001001505009,Övrigt,25M,-,Glasbruksgatan,25M,-,Saltsjöbadens station,2025-03-17 06:05:17,2025-03-17 06:38:04,32.8,FM-topp,Vardag,Glasbruksgatan,Saltsjöbadens station,59.31851196289063,18.0789852142334,59.27887344360352,18.312231063842773,13956.1,25.5,0.0,0.0,Glasbruksgatan → Saltsjöbadens station,20.5
observed,9031001001001618,Keolis,113,-,Solna centrum,113,-,Mariehällskyrkan,2025-03-17 06:17:02,2025-03-17 06:30:01,13.0,FM-topp,Vardag,Solna centrum,Ursviks holme,59.35829925537109,17.998184204101562,59.389381408691406,17.943716049194336,4633.0,21.4,0.0,0.0,Solna centrum → Ursviks holme,11.5
observed,9031001001004910,Keolis,516,-,Sergels torg,516,-,Mossvägen,2025-03-17 06:17:28,2025-03-17 06:38:02,20.6,FM-topp,Vardag,Sergels torg,Malaxgatan,59.33367156982422,18.064916610717773,59.42278289794922,17.924755096435547,12696.6,37.0,0.0,0.0,Sergels torg → Malaxgatan,16.7
observed,9031001001004936,Keolis,540,-,Tensta centrum,540,-,Tensta centrum,2025-03-17 06:17:58,2025-03-17 06:21:00,3.0,FM-topp,Vardag,Tensta centrum,Spånga kyrka,59.39392852783203,17.90610122680664,59.39129638671875,17.91404151916504,536.4,10.7,0.0,0.0,Tensta centrum → Spånga kyrka,2.8
observed,9031001001004049,Keolis,201,-,Ropsten,212,-,Södergarnsvägen,2025-03-17 06:22:41,2025-03-17 06:31:01,8.3,FM-topp,Vardag,Ropsten,Högnäsvägen,59.357208251953125,18.102155685424805,59.37113571166992,18.146873474121094,2969.6,21.5,0.0,0.0,Ropsten → Högnäsvägen,5.8
observed,9031001001004626,Nobina,156,-,Solna strand,156,-,Danderyds sjukhus,2025-03-17 06:23:11,2025-03-17 06:36:00,12.8,FM-topp,Vardag,Solna strand,Väntorpsvägen,59.35480880737305,17.973133087158203,59.37920379638672,18.022855758666992,3910.8,18.3,0.0,0.0,Solna strand → Väntorpsvägen,8.8
observed,9031001001001612,Nobina,155,-,Akalla,158,-,Spånga station,2025-03-17 06:26:07,2025-03-17 06:29:01,2.9,FM-topp,Vardag,Akalla,Hästa gård,59.41516876220703,17.913156509399414,59.41205596923828,17.897777557373047,936.5,19.4,0.0,0.0,Akalla → Hästa gård,2.3
observed,9031001001004811,Keolis,54,-,Fridhemsplan,54,-,Reimersholme,2025-03-17 06:26:44,2025-03-17 06:33:01,6.3,FM-topp,Vardag,Drottningholmsvägen Fridhemsgatan,Högalidsgatan,59.332496643066406,18.02895736694336,59.31821441650391,18.031850814819336,1596.6,15.2,0.0,0.0,Drottningholmsvägen Fridhemsgatan → Högalidsgatan,4.4
observed,9031001001008052,Keolis,516,-,Sergels torg,516,-,Mossvägen,2025-03-17 06:26:48,2025-03-17 06:46:03,19.2,FM-topp,Vardag,Sergels torg,Malaxgatan,59.33388519287109,18.064617156982425,59.42155456542969,17.925973892211914,12517.9,39.1,0.0,0.0,Sergels torg → Malaxgatan,16.3
observed,9031001001007588,Övrigt,127,-,Brommaplan,117,-,Kopparbacken,2025-03-17 06:28:37,2025-03-17 06:33:01,4.4,FM-topp,Vardag,Brommaplan,Kortenslund,59.3382568359375,17.9377384185791,59.34694290161133,17.92786407470703,1116.4,15.2,0.0,0.0,Brommaplan → Kortenslund,3.3
observed,9031001001007456,Keolis,222,-,Ropsten,205,-,Sticklinge,2025-03-17 06:32:18,2025-03-17 06:38:02,5.7,FM-topp,Vardag,Ropsten,Ägirvägen,59.35738754272461,18.102020263671875,59.371578216552734,18.132436752319336,2336.7,24.6,0.0,0.0,Ropsten → Ägirvägen,4.8
observed,9031001001004668,Keolis,119,-,Persikogatan,119,-,Backlura,2025-03-17 06:34:51,2025-03-17 06:44:02,9.2,FM-topp,Vardag,Persikogatan,Backlura,59.36410140991211,17.834787368774414,59.39178085327149,17.81831932067871,3216.0,21.0,0.0,0.0,Persikogatan → Backlura,8.8
observed,9031001003003569,Nobina,555,-,Kungsängens station,555,-,Bro centrum,2025-03-17 06:34:56,2025-03-17 06:41:04,6.1,FM-topp,Vardag,Bygdegårdsvägen,Lindhagaberg,59.47682571411133,17.73980140686035,59.50106048583984,17.668766021728516,4831.6,47.5,0.0,0.0,Bygdegårdsvägen → Lindhagaberg,6.6
observed,9031001001004685,Keolis,506,-,Hallonbergen,525,-,Sollentuna station,2025-03-17 06:35:02,2025-03-17 06:46:03,11.0,FM-topp,Vardag,Hallonbergen,Sörentorp,59.37568664550781,17.969711303710938,59.3934211730957,17.98824119567871,2233.8,12.2,0.0,0.0,Hallonbergen → Sörentorp,7.7
