from_lat,from_lon,to_lat,to_lon,duration_min
59.3829,17.899,59.3635,17.8713,7.405
59.4515,17.8301,59.3827,17.867,10.068333333333333
59.3794,17.9787,59.425,17.9235,10.291666666666666
59.1827,17.5994,59.1955,17.6158,5.4350000000000005
59.3651,18.0537,59.341,18.1154,9.625
59.3895,18.0016,59.3379,17.9357,15.758333333333333
59.3825,17.8998,59.3743,17.8976,2.996666666666667
59.429,17.9484,59.3881,17.8764,14.178333333333335
59.4296,17.9477,59.3803,17.9781,13.271666666666667
59.3698,18.0505,59.3638,18.1245,7.458333333333333
59.4293,17.9481,59.445,17.9542,4.663333333333333
59.3614,17.9734,59.3591,17.9962,3.308333333333333
59.4477,18.0869,59.4362,18.0724,3.075
59.3059,18.0157,59.3045,17.9808,11.381666666666666
59.3594,17.875,59.3184,18.0787,25.671666666666667
59.3795,17.9784,59.444,17.9263,13.171666666666665
59.1783,17.6028,59.1386,17.5592,8.301666666666668
59.3798,17.9787,59.3425,18.0492,11.66
59.2466,18.244,59.242,18.2395,5.92
59.383,17.8987,59.3858,18.0431,14.816666666666666
59.4513,17.8299,59.3639,17.8719,14.736666666666668
59.383,17.8982,59.3378,17.9359,12.733333333333333
59.3634,17.8717,59.4159,17.9256,13.16
59.3614,17.9735,59.3528,18.0037,5.805000000000001
59.3635,17.8713,59.3744,17.8701,3.3666666666666667
59.3103,18.382,59.3129,18.1636,13.496666666666666
59.3652,18.0537,59.3411,18.1152,9.82
59.39,18.0425,59.3501,18.0491,9.67
58.9852,17.9033,58.9533,17.9006,4.526666666666667
59.3756,17.9702,59.3767,18.0058,4.573333333333333
59.2466,18.2444,59.2461,18.1874,5.694999999999999
59.3384,17.9379,59.3636,17.8711,9.883333333333333
59.2767,17.9096,59.1999,17.8341,15.55
59.2469,18.2443,59.263,18.1389,9.068333333333333
59.3053,18.0129,59.2946,17.9332,9.665
59.2517,18.1738,59.2884,18.088,9.17
59.3104,18.0238,59.305,18.0125,3.3466666666666667
59.4504,18.0864,59.3909,18.0435,9.961666666666668
59.2469,18.2441,59.2735,18.0942,13.991666666666667
59.3635,17.8716,59.3383,17.9368,9.438333333333333
59.4491,17.84,59.4592,17.8269,1.0366666666666666
59.2466,18.2442,59.2646,18.1475,8.546666666666665
59.333,17.981,59.3896,17.8881,20.473333333333336
59.4504,17.8347,59.4064,17.8624,4.498333333333333
59.315,18.2294,59.3124,18.1698,4.091666666666667
59.429,17.9484,59.3894,18.0016,10.891666666666667
59.3615,17.9734,59.3604,17.9831,1.4466666666666665
59.2652,18.0664,59.2233,17.9523,13.936666666666667
59.0667,17.619,59.1921,17.6292,17.43166666666667
59.2939,18.256,59.3156,18.0842,16.025
59.3429,18.1101,59.3529,18.0401,8.123333333333333
59.3051,18.0126,59.2829,18.0186,7.828333333333333
59.3651,18.0537,59.3413,18.1159,9.115
59.3478,18.0122,59.3428,18.0453,6.963333333333334
59.3634,17.8708,59.3376,17.9354,9.466666666666667
59.3939,17.9061,59.3813,17.902,3.9699999999999998
59.2474,18.2442,59.2983,18.0826,16.92
59.1514,18.1105,59.2138,18.1335,12.018333333333334
59.383,17.8981,59.3471,17.8934,10.016666666666667
59.3497,18.0261,59.3443,18.0219,1.4933333333333332
59.3574,18.102,59.3417,18.1157,4.8566666666666665
59.3833,17.8983,59.3384,17.9369,12.795
59.3832,17.8985,59.3746,17.8705,4.746666666666667
59.2466,18.2452,59.2613,18.1067,10.655
59.3833,17.8982,59.359,17.9451,6.725
59.1513,18.1106,59.2249,17.9546,21.095000000000002
59.2009,17.7223,59.1941,17.75,3.8116666666666665
59.2469,18.2446,59.262,18.1359,9.196666666666665
59.2766,17.9096,59.1998,17.8346,15.386666666666667
59.3499,18.0489,59.3524,18.0303,4.543333333333334
59.4514,17.8305,59.3967,17.879,7.276666666666667
59.3528,18.0315,59.3429,18.0472,4.671666666666667
59.3758,17.9692,59.3649,17.9745,5.855
59.4034,17.9424,59.3335,18.0649,15.223333333333333
59.2471,18.2445,59.2735,18.0942,14.258333333333333
59.3634,17.8717,59.4145,17.93,13.748333333333333
59.2474,18.2444,59.2942,18.0851,16.343333333333334
59.3145,18.2288,59.3133,18.2113,2.27
59.1771,18.1484,59.2985,18.0825,15.018333333333334
59.1747,18.1442,59.2435,18.1109,8.391666666666667
59.2473,18.2447,59.297,18.0817,17.529999999999998
59.4666,18.0574,59.41,17.934,13.335
59.3757,17.9697,59.3796,17.9783,2.4133333333333336
59.3895,18.0014,59.3524,18.0302,7.5183333333333335
59.3144,18.2304,59.3139,18.2215,1.8083333333333333
58.9857,17.9035,59.2758,18.0929,33.583333333333336
59.3498,18.0262,59.3224,17.9961,6.1466666666666665
59.3651,18.0537,59.3574,18.1044,7.0616666666666665
59.247,18.2431,59.2971,18.0817,17.323333333333334
59.3533,18.0316,59.3422,18.0478,5.176666666666667
59.2356,18.25,59.2938,18.0854,17.33833333333333
59.3429,18.0454,59.2991,18.0804,10.075
